================ 扩展映射验证完整结果 ================
测试总文件数：173
推测系统最可能的映射策略：Block RevSub [I16..I1, Q16..Q1]
平均匹配误差：5.54 / 32 bits

【所有被测试文件的最佳匹配详情】
文件编号  | 最佳相位假说     | 时间 T  | 误差/32 | 映射假说
------------------------------------------------------------------------------------
File 001 | Phase 2 (90°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 002 | Phase 3 (180°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 003 | Phase 3 (180°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 004 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [Q,I]
File 005 | Phase 1 (0°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1] (+ Conj/Flip Q)
File 006 | Phase 1 (0°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1] (+ Conj/Flip Q)
File 007 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 008 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [Q,I] (+ Conj/Flip Q)
File 009 | Phase 1 (0°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 010 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 011 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [Q,I] (+ Conj/Flip Q)
File 012 | Phase 2 (90°) | T=195 | 05/32  | Block [I1..I16, Q1..Q16] (+ Conj/Flip Q)
File 013 | Phase 2 (90°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 014 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [I,Q]
File 015 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 016 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 017 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [I,Q]
File 018 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 019 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1] (+ Conj/Flip Q)
File 020 | Phase 2 (90°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 021 | Phase 3 (180°) | T=033 | 04/32  | Interleaved [I,Q]
File 022 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1] (+ Conj/Flip Q)
File 023 | Phase 2 (90°) | T=033 | 04/32  | Interleaved [I,Q]
File 024 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 025 | Phase 1 (0°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1] (+ Conj/Flip Q)
File 026 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 027 | Phase 2 (90°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 028 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 029 | Phase 1 (0°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1] (+ Conj/Flip Q)
File 030 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [Q,I]
File 031 | Phase 1 (0°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 032 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [Q,I] (+ Conj/Flip Q)
File 033 | Phase 2 (90°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 034 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 035 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 036 | Phase 3 (180°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 037 | Phase 3 (180°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 038 | Phase 1 (0°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1] (+ Conj/Flip Q)
File 039 | Phase 2 (90°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 040 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 041 | Phase 2 (90°) | T=033 | 04/32  | Interleaved [I,Q]
File 042 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 043 | Phase 3 (180°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 044 | Phase 2 (90°) | T=033 | 04/32  | Interleaved [I,Q]
File 045 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [Q,I]
File 046 | Phase 3 (180°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 047 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1] (+ Conj/Flip Q)
File 048 | Phase 1 (0°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1] (+ Conj/Flip Q)
File 049 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [I,Q]
File 050 | Phase 1 (0°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 051 | Phase 3 (180°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 052 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [Q,I]
File 053 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [Q,I]
File 054 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1] (+ Conj/Flip Q)
File 055 | Phase 3 (180°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 056 | Phase 1 (0°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 057 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [Q,I]
File 058 | Phase 1 (0°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1] (+ Conj/Flip Q)
File 059 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [Q,I]
File 060 | Phase 3 (180°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 061 | Phase 3 (180°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 062 | Phase 2 (90°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 063 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [I,Q]
File 064 | Phase 2 (90°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 065 | Phase 1 (0°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1] (+ Conj/Flip Q)
File 066 | Phase 2 (90°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 067 | Phase 3 (180°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 068 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 069 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 070 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1] (+ Conj/Flip Q)
File 071 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [Q,I]
File 072 | Phase 2 (90°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 073 | Phase 2 (90°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 074 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 075 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 076 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [Q,I]
File 077 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [Q,I]
File 078 | Phase 3 (180°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 079 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 080 | Phase 2 (90°) | T=033 | 04/32  | Interleaved [I,Q]
File 081 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [I,Q]
File 082 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [Q,I] (+ Conj/Flip Q)
File 083 | Phase 2 (90°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
